date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-06-21,3,162.2,416242900,0.433,0
2020-06-21,3,162.1,416242900,0.4858,0
2020-06-21,3,161.2,416242900,0.5619,0
2020-06-21,3,161,416242900,0.513,0
2020-06-21,3,160.9,416242900,0.2513,0
2020-06-21,3,161.6,416242900,1.5938,0
2020-06-21,3,100.7,416253500,1.3013,0
2020-06-21,3,161.5,416411000,0.6522,0
2020-06-21,3,-166.9,416710000,2.2941,0
2020-06-21,3,67,416803000,5.068,5.068
2020-06-21,3,66.9,416803000,2.8347,2.8347
2020-06-21,3,78.5,417000188,5.808,0
2020-06-21,3,-18.9,432045000,0.2761,0
2020-06-21,3,-164.2,529440000,0.5261,0
2020-06-21,3,-164.1,529440000,0.1205,0
2020-06-21,3,-164.3,529440000,0.3394,0
2020-06-21,3,160.4,554127120,1.0327,0
2020-06-21,3,-2.8,627179000,0.408,0
2020-06-21,3,-2.9,627179000,0.1322,0
2020-06-21,3,-5.1,636083838,0.2375,0
2020-06-21,3,-5.2,636083838,0.3583,0
2020-06-21,3,67.5,664115740,3.9358,3.9358
2020-06-21,3,67.7,664115740,1.0275,1.0275
2020-06-21,-3,9.8,412200872,2.9666,0
2020-06-21,-3,174.2,412371181,3.0613,0
2020-06-21,-3,81.5,416008600,2.3011,0
2020-06-21,-3,82.2,416074900,0.5844,0
2020-06-21,-3,-165.9,416122800,0.1672,0
2020-06-21,-3,-165.8,416122800,0.4825,0
2020-06-21,-3,57.4,416136900,1.1861,0
2020-06-21,-3,57.2,416136900,0.9661,0
2020-06-21,-3,57.3,416136900,0.5258,0
2020-06-21,-3,77.4,417000291,1.2355,1.2355
2020-06-21,-3,77.3,417000291,0.0986,0.0986
2020-06-21,-3,77.5,417000291,4.2236,4.2236
2020-06-21,-3,77.2,417000291,6.6236,6.6236
2020-06-21,-3,118.5,431067000,4.2086,0
2020-06-21,-3,-7.7,431613000,0.4108,0
2020-06-21,-3,-178.8,440647000,0.6166,0
2020-06-21,-3,-179.1,440647000,1.3458,1.3458
2020-06-21,-3,-139.7,440654000,0.4766,0
2020-06-21,-3,-139.6,440654000,0.7072,0
2020-06-21,-3,-139.5,440654000,0.6436,0
2020-06-21,-3,-139.4,440654000,0.5033,0
2020-06-21,-3,-179.4,440919000,1.3322,1.3322
2020-06-21,-3,-28.8,441007000,0.5327,0
2020-06-21,-3,-178.2,544125120,0.2927,0
2020-06-21,-3,-178.3,544125120,0.5163,0
2020-06-21,-3,145.7,548227100,0.3108,0
2020-06-21,-3,149.8,548957000,1.5711,0
2020-06-21,-3,-164.2,577146000,0.2947,0
2020-06-21,-3,-32.5,710000176,1.0572,0
2020-06-21,-3,-32.6,710000176,0.7663,0
2020-06-21,-3,-86.1,730019000,1.6694,0
2020-06-21,-3,-87.9,735057530,0.605,0
2020-06-21,-3,-80.9,735058152,1.8247,0
2020-06-21,-3,-86,735058843,0.7083,0
2020-06-21,-3,-106.3,775627000,0.5091,0
2020-06-21,3.5,9.4,108666638,2.0572,2.0572
2020-06-21,3.5,9.3,108666638,0.9011,0.9011
2020-06-21,3.5,-95.7,224050000,0.2227,0
2020-06-21,3.5,-149.8,224523000,0.2905,0
2020-06-21,3.5,-149.6,224523000,0.6077,0
2020-06-21,3.5,-149.9,224523000,0.1975,0
2020-06-21,3.5,-10.3,227549000,0.5655,0
2020-06-21,3.5,-10.2,227549000,0.0322,0
2020-06-21,3.5,-10.5,228071900,0.5094,0
2020-06-21,3.5,-17.6,263415290,1.7177,1.7177
2020-06-21,3.5,-6.3,312797000,0.0691,0.0691
2020-06-21,3.5,-5.9,312797000,1.9452,1.9452
2020-06-21,3.5,-151.6,359001000,0.2619,0
2020-06-21,3.5,-150.1,359001000,2.5905,2.1458
2020-06-21,3.5,-149.9,359001000,1.2091,0
2020-06-21,3.5,-150.2,359001000,0.1297,0
2020-06-21,3.5,-151.7,359001000,0.4083,0
2020-06-21,3.5,-150,359001000,4.7175,3.4952
2020-06-21,3.5,-3,359102000,1.0241,0
2020-06-21,3.5,64.4,412549089,1.7538,1.7538
2020-06-21,3.5,54.1,412695570,2.8849,2.8849
2020-06-21,3.5,54,412695610,1.3844,1.3844
2020-06-21,3.5,146.6,416003413,1.2505,1.2505
2020-06-21,3.5,147,416003413,0.825,0.825
2020-06-21,3.5,146.4,416003413,1.818,1.818
2020-06-21,3.5,146.9,416003413,4.345,4.345
2020-06-21,3.5,146.5,416003413,0.9005,0.9005
2020-06-21,3.5,146.7,416003413,2.4063,2.4063
2020-06-21,3.5,146.3,416003413,0.3563,0.3563
2020-06-21,3.5,146.1,416003413,1.3633,1.3633
2020-06-21,3.5,146.2,416003413,3.9277,3.9277
2020-06-21,3.5,146,416003413,1.7736,1.7736
2020-06-21,3.5,151.7,416003869,1.1311,1.1311
2020-06-21,3.5,146.1,416004179,3.2908,3.2908
2020-06-21,3.5,146.2,416004179,1.7783,1.7783
2020-06-21,3.5,150,416004372,0.1655,0
2020-06-21,3.5,68,416153500,1.4416,1.1933
2020-06-21,3.5,67.8,416153500,1.0208,1.0208
2020-06-21,3.5,68.2,416153500,3.0036,1.1672
2020-06-21,3.5,67.9,416153500,3.0955,1.3205
2020-06-21,3.5,68.1,416153500,1.628,1.628
2020-06-21,3.5,100.1,416252900,1.4511,0
2020-06-21,3.5,68.5,416530000,1.2166,0
